PCA_1,PCA_2,median_house_value
0.5832741603924296,0.9337353399153645,0.9022663824066706
0.5958577971115472,0.8789560596273334,0.7082465639316953
0.5775887883988757,0.9604332688412911,0.6950507420587957
0.5807033136600085,0.9583237947790526,0.6727827926482779
0.5841185170303166,0.9557689755728485,0.6746384550991544
0.5837873948036154,0.9562660142938499,0.5251545354452147
0.5841983004215974,0.9548762936451392,0.5859790268906109
0.5851489690028834,0.9537781262420915,0.4668042606009873
0.5939234658396653,0.9267994518948186,0.43649510723667123
0.5840131197263669,0.9543623024442067,0.5074226498035062
0.5853174665984073,0.9546440786331438,0.5494843320233731
0.5849905592103778,0.9539336698220271,0.4676289994680435
0.5855229954474037,0.9543182968220385,0.40927872462381604
0.5863401249124024,0.9545596817724684,0.3635057175021959
0.5876439163152984,0.9524719342862402,0.2973204234209344
0.5887924324069882,0.9484528870327291,0.25773295780223593
0.586243186565121,0.9543658318422252,0.28350604739774277
0.5875074994045166,0.9536863903449917,0.2896915889006644
0.5888366328681592,0.9477312733884007,0.2962894998371141
0.5864745448009805,0.9542431144778081,0.3049492579412044
0.5970990167913387,0.9219608674785826,0.27319681155954
0.5949522286201209,0.9270936874699782,0.2985575317215187
0.5880291127290284,0.9525043745759891,0.20391874672681765
0.5872494144395232,0.9535506692257285,0.1746405169463219
0.5863933924958799,0.953854954590333,0.24247528876169586
0.5945220567494812,0.9262122524740373,0.19072292485391815
0.5889708750412701,0.946625486865442,0.16247561865724267
0.588095795650477,0.9530352613737589,0.18659923051863705
0.5895882132694593,0.9474356895664546,0.19360951088861492
0.5883598404915897,0.9534951757377217,0.24123818046111156
0.5897743865963508,0.9454059332416251,0.22123826293499824
0.587651175343735,0.9530479354549743,0.20659914804475035
0.5906484487890113,0.9425667761003429,0.19670228164007572
0.5906761712850855,0.9446415426195687,0.18536212221805273
0.5866162994603998,0.9510810944539296,0.19525898862272736
0.5905057626763883,0.9450074413978251,0.16948589902722053
0.5918394215371192,0.9415379576182084,0.1845373833509965
0.5886106534381867,0.9524894857930857,0.1833002750504122
0.5845921273705004,0.9552011455339764,0.36371190221896
