PCA_1,PCA_2,PCA_3,median_house_value
0.9271038384452484,0.14466790357703338,0.40737344378846063,0.9022663824066706
0.884804779103188,0.07252404023130943,0.5181229121026868,0.7082465639316953
0.5889708750412701,0.9466254868654409,0.01471529754893608,0.6950507420587957
0.9478917920409142,0.18465696827462424,0.3495167355940849,0.6727827926482779
0.9150427215863742,0.11258033209534327,0.4507237302497645,0.6746384550991544
0.8779488055536013,0.12492108420585318,0.47775088923341064,0.5251545354452147
0.02838622952019132,0.28002836244951385,0.4112120784687374,0.5859790268906109
0.02512133665468974,0.25075502699215885,0.43915341255509577,0.4668042606009873
0.5205930101204346,0.784473530687574,0.9349581471234323,0.43649510723667123
0.9328839170306582,0.14376361182081765,0.4025950195561281,0.5074226498035062
0.043600700937633075,0.2119204384267321,0.45802737530166804,0.5494843320233731
0.0319109335983262,0.20823935695562035,0.472776778530464,0.4676289994680435
0.8762867613088917,0.04776663634529271,0.5499252413359471,0.40927872462381604
0.029335697430939944,0.24162586772271016,0.445150437779842,0.3635057175021959
0.023764867894340236,0.278956041899346,0.41495858025391075,0.2973204234209344
0.8560573940207832,0.10268124633054682,0.5201747950475649,0.25773295780223593
0.030423286315624465,0.23476423559810292,0.4499952765239324,0.28350604739774277
0.9168637655564567,0.11229423216227302,0.4495517133758097,0.2896915889006644
0.5773736871629963,0.9361809766230726,0.7349271012405556,0.2962894998371141
0.8709358793049837,0.03653900260648546,0.5653132726414584,0.3049492579412044
0.027708620515735416,0.2771448553725223,0.4132513048051518,0.27319681155954
0.8549684745404416,0.09318222231349965,0.5283536235133324,0.2985575317215187
0.026150076401150857,0.25598900340693825,0.43436507621259596,0.20391874672681765
0.5978737995826471,0.8884367905834525,0.056674652408737924,0.1746405169463219
0.03268122827160291,0.26805711489731265,0.4184752414062166,0.24247528876169586
0.025983619412449144,0.27768840039925013,0.4140432433763906,0.19072292485391815
0.9471684384234202,0.12437496046006061,0.40367730949748926,0.16247561865724267
0.11819732280867434,0.30507264474792606,0.29500370746385624,0.18659923051863705
0.03539564499756348,0.21984557381464995,0.4586530145400286,0.19360951088861492
0.5797462239704669,0.9005157580916745,0.7640120217481299,0.24123818046111156
0.9535733950869212,0.12436576620968418,0.3996336175172529,0.22123826293499824
0.015682285717757094,0.28645741090889215,0.4114293367812255,0.20659914804475035
0.8798177761173738,0.1439927904843251,0.45733781159110176,0.19670228164007572
0.9349984650247548,0.1092247055210363,0.43185831641729155,0.18536212221805273
0.49299619046119797,0.7788841212418212,0.9659166289459736,0.19525898862272736
0.9002846539043157,0.11923526777271792,0.46081891184709967,0.16948589902722053
0.9492983005491755,0.1760554841046285,0.3561488040753084,0.1845373833509965
0.877697585047831,0.053792773238407976,0.5410001430333038,0.1833002750504122
0.5440905780058406,0.8715502330026561,0.8312176030395031,0.36371190221896
0.4835792667708917,0.8307033443813192,0.9277321166942918,0.3319594558372956
0.5866301790861171,0.9543248060725118,0.00998270567057874,0.28948540418390034
0.10830522702140738,0.2767649481356439,0.33300674251720136,0.2783514294786414
0.9522874961115448,0.12197446905659712,0.4032212440258886,0.2140217978482563
0.04312869455610219,0.20546447214051888,0.4634545110263536,0.3583510995830946
0.8643670507674239,0.04325134961399124,0.5663107269344531,0.34927897204547614
0.9269541915913119,0.22021959055253523,0.3366829266277439,0.344949092993431
0.6039478046986372,0.863132026372224,0.07691979789570208,0.26288757572133725
0.9134458768030097,0.17670516522436897,0.38959744304245847,0.2525783398831345
0.042346123843775174,0.23619450490638128,0.4374038258428111,0.35567069826516184
0.5868893267480105,0.9558373330690586,0.00827322895823046,0.20103216069212088
0.9048186768480285,0.15155816374727168,0.424063512416837,0.3235058824499693
0.9591427247426279,0.1416059079260182,0.37898094605041854,0.16247561865724267
0.5916049411561319,0.9313970646015775,0.02655641832876854,0.1701044531775127
0.11246894197101037,0.330675996508762,0.27742355862098544,0.18391882920070438
0.027249027622362088,0.2555692497984124,0.43256545693778353,0.14948598150110723
0.03221328581635324,0.24380550075793533,0.4395078607726521,0.14041385396348888
0.0408916709431143,0.24125615432876485,0.4335521257063914,0.14948598150110723
0.882462030335411,0.06292374730858596,0.5312838260697433,0.14494991773229804
0.036167087476370485,0.2031459653904563,0.4717214353620103,0.13464068189409528
0.5053649240592684,0.8392701457342651,0.896933601153522,0.0927851843909922
0.03512105431163354,0.22276585603601917,0.45627743001085586,0.12515618492294878
0.5155969164706392,0.8052645756179522,0.920591827699129,0.12371289190560047
0.49946287400532835,0.822791724446651,0.9138795968073343,0.14659939546641046
0.8550792317909752,0.10119674267492551,0.5220968839595777,0.12598092379000497
0.041275612582384213,0.2420640736301883,0.4315761307466487,0.12062012115413956
0.491893042873069,0.8055535404955358,0.9448106887662389,0.13072317227557828
0.04796290525493663,0.19528465599340197,0.4698802480379052,0.14309425528142156
0.5952178590484256,0.8969199263710415,0.05350898317373587,0.13670252906173586
0.4832912603431813,0.8229093456081618,0.9358815060769478,0.14433136358200582
0.5838606653797824,0.9562214231572288,0.009611697009613007,0.23546500839171802
0.5009409637202737,0.7669596124512026,0.9688255698788554,0.13917674566290456
0.03245724358401697,0.24975388724545577,0.4341305099452461,0.16536220469193944
